User_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
U_1000,3.258467846126288,2.6421532046747833,3.164310181131012,3.384177142602127,3.0390163044969354,3.9886495247686673,3.579544351753699,3.978758061620154,3.2568096183698683,3.0069671399463407,4.706891378061648,4.12535253412977,4.007363871494709,4.047772741039338,4.55913799562329,3.949573765114654,4.280401944280188,4.252037896524924,4.2936274731022115,5.0,2.8831631121688623,1.6104852314009213,2.569806755449067,2.5041388383781773,1.3540821988565641,3.5484662990584517,3.1131629268158285,3.9132417681913036,1.5260741800768995,2.2058208259945933
U_1001,2.7618235032368195,2.4038903332048274,2.8184810941250364,2.607375784402651,2.518617421725683,1.9452423574094775,2.58225770840678,3.370789189799801,2.681333107067752,3.050508039854565,2.8002164739533013,4.003426272260214,3.634289587002925,3.72337899446006,3.759361545701948,3.8307743818358033,3.349028098521742,3.509445235749558,3.881368742598048,3.7297411655015926,1.7489353584613179,2.678396368706559,4.807098642362655,2.8287001102144744,3.9263921941522635,2.7598589206234734,2.0549547889508273,4.463909268171777,1.1733591504370522,4.554766264640266
U_1002,3.3810162852208503,3.570423479010009,3.7862346817430543,2.8794046594058234,3.3061961539337084,4.1345990706653035,3.691038766994,4.026571201788603,3.4785357151982597,4.332602831928152,2.8838067679974078,2.242202911993555,4.1654180133146195,3.07985173522993,2.5915415389029604,3.727590242600296,3.3933824864764017,2.878610937444905,2.5794443730333936,2.8914207669254757,3.0850649542497752,3.4558306102720446,4.702955950933324,4.876669065562341,1.8613176200138746,3.865491891755634,4.942406671203473,2.5714377721345505,3.57561223774321,4.035836244464075
U_1003,4.67365506287011,5.0,5.0,4.662590731838912,4.553637918319062,4.710773798763768,5.0,3.8563869822087455,4.88284485116269,5.0,2.4616205661448736,2.022501492612464,2.887106029801191,2.955881308658631,2.251201001235556,2.460096199455748,2.1872697319328753,2.194437992597207,2.77224268871741,2.2212706149084833,4.429616677854364,1.0328014992268866,3.642107559946465,1.1291640685064324,2.788957234532995,4.298311676074826,1.2205469406450895,3.8265277038554246,3.2089375209162734,3.147016144702599
U_1004,1.772208616855104,2.997292512598876,2.0355867686915836,3.085430491242869,2.6119407949764026,3.0727448057641875,3.357944277847254,2.641304734068117,3.317605216062953,3.261254712760641,3.5665329800906878,3.4844893841417575,4.798904109646943,3.1849699966475002,3.730005383781696,3.115522325217047,3.933356169613436,4.517208418142908,2.813537313102563,3.7467621694904265,2.2161578475622568,3.877291277244568,1.0353081938460114,2.3411826158436573,4.906484405405436,3.3620651915473685,2.434481670467241,3.928698591081006,1.9171799535679903,4.600638828453142
U_1005,2.8256825053474524,2.0512948671110376,3.0153192885846485,2.0819195921225857,3.1376128948266757,3.1075014978383977,3.00427931709277,2.1411818642025255,2.333514573090381,2.613090886061862,3.4050363363764404,2.8714557909952125,3.066306741877149,2.8916148125810697,4.224020497528196,2.5049433755790864,3.1777325706470387,4.046738701424561,2.9876961454572353,3.5080796029228645,4.243168288651313,3.234906171159659,2.6013387279037476,2.94485184935468,4.279627193615502,4.48732943597197,2.1907886590744514,2.201096520507961,4.3264692305269925,2.944882052830223
U_1006,4.895658116289982,5.0,3.5428595628074824,5.0,4.734475859256018,5.0,4.9459169828447545,4.7937524921498325,5.0,4.661745894521047,4.021374485926932,3.3083586904126108,3.673671277578112,4.334464447093674,3.4741447644240466,3.972678509727311,2.8556310132073546,3.9938016710289936,2.716610669573282,4.191468512585442,4.645246328702504,2.938811034707701,4.644940518782383,1.005859972276761,4.386373429200802,3.0583670375029506,2.5460468525122217,4.872631800846564,3.9420254086093736,3.2660282567511025
U_1007,3.512377359449395,3.1472696805143077,3.605979398801585,4.164809085525659,3.128108821598694,4.597648498794092,4.669927560135704,4.410923793050437,3.5300856388100463,3.552470998867591,3.4904337218229005,3.333206109807357,2.8420745587072522,3.2768150704049264,3.910531163109275,3.6317815041594455,3.016929321105107,4.170791939979445,4.287450699826983,3.045106359171069,1.2918315588582545,2.693980155311473,4.540441156432459,4.596508404026447,4.443079618912314,4.3201160088250266,4.670871442079463,4.460876694088248,2.1057151399471326,2.5286113887901824
U_1008,2.7662535710942597,2.977976263821594,2.192493815652285,2.0695140758925383,3.0066646601256375,3.1099165681832055,2.280212500352296,2.589206154815544,2.012817130629615,2.4086825035712596,3.655613031183628,4.164432838078555,3.434858771210682,3.208124495466935,3.675613946917088,3.51668808562432,3.6244348179118258,4.238872841744409,3.7238674252828203,3.6833947331848376,4.025698145277004,3.077948126962498,1.7495512003844547,2.1449776008486348,3.4781813604862317,4.808076961622781,2.4721514962740594,2.159445314798256,4.013452091458536,3.480160146891537
U_1009,4.1198571211164365,3.4155097263942182,3.9677354653387766,3.5803072336342336,3.2325269854956376,4.372907211886277,4.166531721486611,4.225117485501874,4.0603693614747645,3.611776654318748,2.368017158421698,2.4004529423124734,3.522768405082796,2.3292468597016107,2.6270462086946136,3.0848188936051946,3.255906342625835,2.662447410508573,3.6552538481597017,3.587084692363647,2.0213737446019633,1.6471429379269904,2.5967299838764104,2.030819328437777,3.9757356954499135,3.0049738680940683,4.667906610800002,3.7002747067479502,1.9799768540030902,2.276006123683495
